location,lat,lon,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
"19 Thames Road, London",51.5253738,0.1020937,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,8410,3852.5,-4557.5,402252,Max Recycling Ltd,Only one waste type managed (90%)
"Dagenham Dock Aggregate Recycling Facility, London",51.5262269,0.1461168,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,428.72,576.26,147.54,401033,Hanson Quarry Products Europe Ltd,Only one waste type managed (90%)
"Mardyke Farm, London",51.5265249,0.1660352,Disposal,Inert,452176,0,2220.94,2220.94,80124,Ebbcliffe Ltd,Multiple waste types managed
"Willesden Freight Terminal, London",51.5265773,-0.247981,"Transfer and treatment (construction, demolition and excavation)",Inert,500000,661789.64,421368.34,-240421.3,104421,L Lynch ( Plant Hire & Haulage ) Ltd,Only one waste type managed (90%)
"Scrubs Lane Metal Recycling Site, London",51.526955,-0.235352,Materials recycling and sorting,Inert,25000,24972.92,6243.23,-18729.69,401860,Capital Metal Recycling Ltd,Only one waste type managed (90%)
"Jenkins Lane WM Facility EPR/WP3433BY, London",51.5280049,0.0765988,Fuel preparation and MBT,HIC,337000,220337.91,210147.06,-10190.85,WP3433BY,Shanks Waste Management Limited,Only one waste type managed (90%)
"ACTON REFINERY, London",51.5280364,-0.2582087,Metals and vehicle recycling,HIC,999999,1.47,0.9,-0.57,BM1741IS,Vale Europe Limited,Only one waste type managed (90%)
"G & S Tyre Services Ltd, London",51.528333,0.088597,Waste transfer (household and commercial),HIC,74999,528.54,420.73,-107.81,102554,G & S Tyre Services Ltd,Only one waste type managed (90%)
"Horn Lane Waste Transfer Station, London",51.52962,-0.247096,"Transfer and treatment (construction, demolition and excavation)",Inert,17000,0,15472.75,15472.75,80060,Quattro ( U K ) Limited,Multiple waste types managed
"Alfreds Way, Barking, London",51.5297141,0.091756,Metals and vehicle recycling,Inert,109500,14097.21,9885.99,-4211.22,80111,Creek Metals Limited,Only one waste type managed (90%)
"Humphries Ltd, London",51.530105,-0.09715,Metals and vehicle recycling,HIC,74999,109509.11,59565.4,-49943.71,103643,S Norton & Co Ltd,Multiple waste types managed
"Land Adjoining Bramble Lane Fishing Lakes, London",51.5301205,0.2560146,Other - inert,Inert,50000,8797.9,2382.32,-6415.58,400952,Gibson Ian,Only one waste type managed (90%)
"Unit 5, London",51.5315014,-0.0687538,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,804,373,-431,401238,U K And European Construction Limited,Only one waste type managed (90%)
"Cannon Hygeine Barking Waste Facility, London",51.5319354,0.1041466,Waste transfer (household and commercial),HIC,74999,263.8,65.95,-197.85,402973,O C S Group U K Limited,Multiple waste types managed
"Albion Yard, London",51.5324452,-0.1215671,Metals and vehicle recycling,Haz,15500,8225.54,8519.01,293.47,83233,Vinton Metals Ltd,Only one waste type managed (90%)
"Barbers Road Facility, London",51.532669,-0.014935,Other,HIC,150000,80475.37,51915.2,-28560.17,80107,Regional Waste Recycling ( Commercial) Limited,Multiple waste types managed
"Little Gerpins 2 Landfill, London",51.5332022,0.2315669,Other - inert,Inert,306000,159320,44678.25,-114641.75,401833,Ingrebourne Valley Limited,Only one waste type managed (90%)
"Land At Unit 1, London",51.533396,-0.259717,Metals and vehicle recycling,Haz,24999,0,512.5,512.5,83482,Pick A Part Ltd,Multiple waste types managed
"Alperton Lane Waste TS EPR/LP3037WG, London",51.5339283,-0.3044616,Fuel preparation and MBT,Inert,150000,85333.3,21333.32,-63999.98,LP3037WG,O'Donovan (Waste Disposal) Limited,Only one waste type managed (90%)
"J B Riney & Co Ltd, London",51.5343063,-0.0200307,"Transfer and treatment (construction, demolition and excavation)",Inert,49999,37710,34773.75,-2936.25,80137,J B Riney & Co Ltd,Only one waste type managed (90%)
"Twyford Waste Transfer Station, London",51.534673,-0.2775277,Waste transfer (household and commercial),HIC,74999,38628.58,38061.68,-566.9,80078,West London Waste Authority,Only one waste type managed (90%)
"Marshgate Sidings, London",51.5361281,-0.015134,"Transfer and treatment (construction, demolition and excavation)",Inert,700000,257436.94,192567.56,-64869.38,100245,D B Schenker Rail ( U K) Limited,Only one waste type managed (90%)
"Thames Materials, London",51.5363239,-0.4906828,"Transfer and treatment (construction, demolition and excavation)",Inert,500000,262394.08,116312.98,-146081.1,401566,Thames Materials Limited,Only one waste type managed (90%)
"Gerpins Lane Reuse & Recycling Centre, London",51.5365395,0.2392451,Household Reuse and Recycling Centres,HIC,115500,16210.81,24912.64,8701.83,80090,E L W A Ltd,Only one waste type managed (90%)
"Barking Riverside ( Resource Information And Marketing Suite), London",51.536563,0.075766,Other - inert,Inert,200000,0,5661,5661,103229,Foundation Developments Limited,Multiple waste types managed
"Brent Transfer Station, London",51.5369275,-0.2783835,Waste transfer (household and commercial),HIC,364000,30972.89,99959.4,68986.51,80379,Veolia E S ( U K ) Limited,Only one waste type managed (90%)
"Central Depot, London",51.5384739,-0.1353321,Waste transfer (household and commercial),HIC,60000,16945.58,19208.92,2263.34,400101,London Borough of Richmond Upon Thames,Only one waste type managed (90%)
"Reuse Collections, Dagenham, London",51.53889,0.14743,"Transfer and treatment (construction, demolition and excavation)",Inert,250000,0,42379.85,42379.85,80120,U R M ( U K ) Limited,Multiple waste types managed
"Unit 7, Abbey Industrial Estate, London",51.5394373,-0.2918819,Other,Haz,24999,62.02,29.43,-32.59,401409,Wandle Waste Management Limited,Multiple waste types managed
"Barking Transfer Station, London",51.5395507,0.0809453,Waste transfer (household and commercial),HIC,182500,169155.12,109449.8,-59705.32,80572,Shukco 347 Ltd,Only one waste type managed (90%)
"Bilton Road M R F, London",51.5400437,-0.3153667,Materials recycling and sorting,HIC,49500,0,4.35,4.35,102678,Viridor Waste Management Ltd,Multiple waste types managed
"British Rail Goods Yard, London",51.5404288,-0.127385,"Transfer and treatment (construction, demolition and excavation)",Inert,150000,0,7044.5,7044.5,80571,Iver Recycling ( U K) Ltd,Multiple waste types managed
"Willesden Depot, London",51.542988,-0.234338,Metals and vehicle recycling,HIC,419000,156576.65,136115.23,-20461.42,80371,European Metal Recycling Limited,Multiple waste types managed
"Former Jewson Site, London",51.5460127,-0.1410322,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,20840.62,8554.4,-12286.22,401394,Westminster Waste Limited,Multiple waste types managed
"Holloway Lane Materials Recycling Facility, London",51.5496209,-0.1163578,"Transfer and treatment (construction, demolition and excavation)",HIC,149999,92612.16,98059.72,5447.56,80564,Iver Recycling ( U K) Limited,Only one waste type managed (90%)
"London Auto Parts Limited, London",51.5496232,-0.1081271,Metals and vehicle recycling,Haz,24999,12614,12848.75,234.75,80603,London Auto Parts Ltd,Multiple waste types managed
"Neasden Goods Yard, London",51.5523357,-0.2484961,Waste transfer (household and commercial),Inert,206225,0,156.25,156.25,80018,Metal & Waste Recycling Ltd,Multiple waste types managed
"Mitre Works, London",51.552526,-0.249187,Metals and vehicle recycling,HIC,83600,16104.31,21571.56,5467.25,80743,Metal And Waste Recycling Limited,Multiple waste types managed
"Glynn Skips, London",51.554778,-0.2506872,"Transfer and treatment (construction, demolition and excavation)",Inert,201500,27103,27354.75,251.75,80035,X- Bert Haulage Ltd,Multiple waste types managed
"Seneca Environmental Solutions Ltd, London",51.5567077,-0.2620297,Other,HIC,400000,0,81520.21,81520.21,102114,Seneca Environmental Solutions Ltd,Multiple waste types managed
"Unit 4 Second Way, London",51.5573043,-0.2730803,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,54602,19138,-35464,402465,H A W K Rubbish Clearance Limited,Only one waste type managed (90%)
"Frizlands Lane Reuse & Recycling Centre, London",51.5574998,0.1587204,Waste transfer (household and commercial),HIC,80000,13813.28,24419.06,10605.78,80105,ELWA Ltd,Only one waste type managed (90%)
"Unit 2, Hannah Close, London",51.5577193,-0.2645691,Waste transfer (household and commercial),HIC,74999,0,5222.5,5222.5,101440,P J Carey ( Contractors ) Ltd,Multiple waste types managed
"L & B Haulage, Neasden, London",51.5582773,-0.2658681,"Transfer and treatment (construction, demolition and excavation)",Inert,116250,5400,4578.75,-821.25,80361,L & B Haulage & Civil Engineering Contractors Ltd,Only one waste type managed (90%)
"Kwik Body Works Ltd, London",51.5584835,0.063453,Metals and vehicle recycling,Haz,74999,27,26,-1,101486,Kwik Body Works Ltd,Only one waste type managed (90%)
"Donoghue, Claremont Rd, London",51.5613931,-0.2143514,"Transfer and treatment (construction, demolition and excavation)",Inert,113760,111225.88,113781.38,2555.5,80294,P B Donoghue (Haulage & Plant Hire) Ltd,Only one waste type managed (90%)
"Victoria Road, South Ruislip, London",51.562082,-0.4023905,Waste transfer (household and commercial),HIC,50000,0,38990.07,38990.07,80076,Dafcon Haulage Limited,Multiple waste types managed
"G B N Services Ltd, London",51.563421,-0.015861,"Transfer and treatment (construction, demolition and excavation)",Inert,160000,31079.03,39631.77,8552.74,80072,G B N Services Ltd,Multiple waste types managed
"Ruislip Depot Hazardous Waste Containment Bay, London",51.5635478,-0.4257816,Other - inert,Inert,224750,56276.56,57184.88,908.32,MP3834LG,Balfour Beatty Rail Projects Limited,Only one waste type managed (90%)
"Hornsey Road Civic Amenity Site, London",51.5660817,-0.1213749,Household Reuse and Recycling Centres,HIC,152400,0,1276.96,1276.96,80721,LondonWaste Ltd,Multiple waste types managed
"Pulse Environmental Limited, London",51.566247,-0.023797,Waste transfer (household and commercial),HIC,74999,9164.35,6005.73,-3158.62,400150,Pulse Environmental Limited,Only one waste type managed (90%)
"Tipmaster Ltd, London",51.5669331,-0.0397497,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,3621.98,1763.73,-1858.25,102591,Tipmaster Limited,Only one waste type managed (90%)
"T J Autos ( U K) Ltd, London",51.5670846,-0.0400367,Metals and vehicle recycling,Haz,74999,10.5,41.44,30.94,101430,T J Autos ( U K) Ltd,Only one waste type managed (90%)
"Malby Waste Disposal Ltd, London",51.568787,-0.038151,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,9924.55,10142.22,217.67,80146,Dem'cy Contractors Ltd,Only one waste type managed (90%)
"Crow Metals Ltd, London",51.5688812,0.160646,Metals and vehicle recycling,HIC,40000,11235.83,5143.18,-6092.65,104496,Crow Metals Ltd,Multiple waste types managed
"Argall Metal Recycling Ltd, London",51.568925,-0.039479,Metals and vehicle recycling,HIC,75000,0,20879.39,20879.39,80756,Argall Metal Recycling Ltd,Multiple waste types managed
"Kershire West Ruislip, London",51.5692168,-0.4348795,Waste transfer (household and commercial),Inert,24700,0,2084.16,2084.16,80550,Kershire Ltd,Multiple waste types managed
"Hendon Waste Transfer Station, London",51.570541,-0.224436,Waste transfer (household and commercial),HIC,375600,142107.43,137324.62,-4782.81,80334,Londonenergy Ltd,Only one waste type managed (90%)
"26/27 Claremont Way Ind Est, London",51.5706427,-0.2223704,Waste transfer (household and commercial),HIC,91000,60139,53932.25,-6206.75,80308,Mc Govern Haulage Ltd,Only one waste type managed (90%)
"Scratchwood Quarry, London",51.5710731,-0.2384418,"Transfer and treatment (construction, demolition and excavation)",Inert,249000,131504.76,101034.38,-30470.38,102529,Quality Recycling Solutions Ltd,Only one waste type managed (90%)
"Leyton Reuse & Recycling Centre, London",51.5732906,-0.0379653,Household Reuse and Recycling Centres,HIC,282624,2588.9,2602.7,13.8,80728,Waltham Forest London Borough Council,Multiple waste types managed
"Unit 3 & 4, London",51.5764578,-0.0923153,Metals and vehicle recycling,HIC,30000,0,115.55,115.55,400999,Gowing Alan,Multiple waste types managed
"Cranfield Golf Centre, London",51.5780744,0.1416499,Other - inert,Inert,1000000,54332,217298,162966,103294,Carzo Ltd,Only one waste type managed (90%)
"Crows Nest Farm, London",51.5796443,-0.4485744,Organic treatment,HIC,24900,6650.66,7889.44,1238.78,80676,Country Compost Ltd,Only one waste type managed (90%)
"B F A Recycling Ltd, London",51.5810018,-0.4651524,Metals and vehicle recycling,Inert,74999,60293,64868,4575,103857,B F A Recycling Ltd,Only one waste type managed (90%)
"O' Donovan, Tottenham, London",51.5830565,-0.0638151,"Transfer and treatment (construction, demolition and excavation)",Inert,166920,123308,54029.13,-69278.87,80317,O' Donovan ( Waste Disposal ) Ltd,Only one waste type managed (90%)
"New Years Green Lane Civic Amenity Site, London",51.5834676,-0.4695965,Household Reuse and Recycling Centres,HIC,75000,43255.8,34801.31,-8454.49,80043,London Borough of Hillingdon,Only one waste type managed (90%)
"Forward Drive C A Site, Harrow, London",51.5892295,-0.327183,Household Reuse and Recycling Centres,HIC,74999,40367.87,35330.3,-5037.57,80039,London Borough of Harrow,Multiple waste types managed
"Wallingford Road Recycling Facility, London",51.5944627,-0.1160886,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,5695,8723.75,3028.75,104532,Bally Skips Limited,Only one waste type managed (90%)
"Chigwell Road Re-use & Recycling Centre, London",51.5983342,0.0424835,Household Reuse and Recycling Centres,HIC,28600,15280.57,20098.88,4818.31,80106,E L W A Ltd,Only one waste type managed (90%)
"White Hart Lane, London",51.6032123,-0.0657389,Metals and vehicle recycling,Haz,74999,0,13773.25,13773.25,80607,Redcorn Ltd,Multiple waste types managed
"Garman Road, London",51.6043129,-0.0512475,Waste transfer (household and commercial),HIC,86925,37453.81,34050.77,-3403.04,80300,Biffa Waste Services Ltd,Only one waste type managed (90%)
"Civic Amenity Site, London",51.6065842,-0.1628166,Household Reuse and Recycling Centres,HIC,74999,7202.92,5931.45,-1271.47,80514,Londonenergy Ltd,Only one waste type managed (90%)
"Redcorn, London",51.60792,-0.0557191,Metals and vehicle recycling,Haz,74999,39283,17634.25,-21648.75,103763,Redcorn Ltd,Only one waste type managed (90%)
"Hunt Skips, Commercial Road, Edmonton, London",51.6100169,-0.07062,Waste transfer (household and commercial),Inert,25000,8719,12599.5,3880.5,80772,Hunt Christopher Joseph Thomas,Multiple waste types managed
"Compost Plant, London",51.6127769,-0.0415581,Organic treatment,HIC,45000,16609.78,29276.28,12666.5,80714,LondonWaste Ltd,Only one waste type managed (90%)
"Albert Works, London",51.6134849,-0.0499859,Metals and vehicle recycling,HIC,349000,0,167167.3,167167.3,80298,Metal & Waste Recycling Limited,Multiple waste types managed
"Rooke & Co Ltd, Edmonton, London",51.613589,-0.062553,Metals and vehicle recycling,HIC,75000,3896.94,20523.46,16626.52,80326,End of Life Vehicle Ltd,Multiple waste types managed
"Hep Oils, London",51.6137071,-0.4900181,Materials recycling and sorting,HIC,25000,5360.33,3873.18,-1487.15,100312,Hep Oils Limited,Only one waste type managed (90%)
"Camden Plant, London",51.6138484,-0.0357154,Other,Haz,112112,206806,224407.5,17601.5,80355,Camden Plant Ltd,Only one waste type managed (90%)
"Oakwood Plant Ltd, Edmonton, London",51.6160601,-0.0464389,"Transfer and treatment (construction, demolition and excavation)",Inert,40000,14428.3,11355.94,-3072.36,80316,Oakwood Plant Ltd,Only one waste type managed (90%)
"A M I Waste, London",51.617256,-0.047905,"Transfer and treatment (construction, demolition and excavation)",Inert,111600,21974,25146.73,3172.73,80319,Tuglord Enterprises Ltd,Only one waste type managed (90%)
"Winters Haulage, Oakleigh Road South, London",51.6196675,-0.1463267,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,0,28572.75,28572.75,80331,Winters Haulage Ltd,Multiple waste types managed
"O' Doherty - Pegamoid, London",51.6197975,-0.0436897,"Transfer and treatment (construction, demolition and excavation)",Inert,325000,88636,74990.5,-13645.5,100204,J O Doherty Haulage Limited,Only one waste type managed (90%)
"Enfield Community Recycling Centre, London",51.6268656,-0.0932818,Household Reuse and Recycling Centres,HIC,74999,16922.67,14214.04,-2708.63,80296,Suez Recycling And Recovery U K Limited,Multiple waste types managed
"Kings Road Recycling Centre, London",51.6269263,0.0046047,Waste transfer (household and commercial),HIC,75000,2852.54,2078.09,-774.45,80155,Londonenergy Ltd,Only one waste type managed (90%)
"Enfield Waste Management Facility, London",51.648461,-0.0285278,"Transfer and treatment (construction, demolition and excavation)",Inert,391280,49754.2,33939.82,-15814.38,80328,Powerday Plc,Multiple waste types managed
"Brimsdown Precious Metal Recovery, London",51.652766,-0.028045,Metals and vehicle recycling,HIC,30000,4925.85,6075.12,1149.27,VP3430BN,Johnson Matthey Plc,Only one waste type managed (90%)
"Crews Hill Transfer Station, London",51.654872,-0.030401,"Transfer and treatment (construction, demolition and excavation)",Inert,20000,18427,18572.25,145.25,80716,Enfield Skips Ltd,Only one waste type managed (90%)
"Jute Lane, Brimsdown, London",51.6551926,-0.0299295,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,15410.34,12481.59,-2928.75,80555,Greater London Waste Disposal Ltd,Only one waste type managed (90%)
"Pressbay Ltd, London",51.6593836,-0.0298014,Metals and vehicle recycling,HIC,74999,37.21,38.69,1.48,80325,Pressbay Ltd,Only one waste type managed (90%)
"Chase Farm Clinical Waste Treatment Facility, London",51.6665042,-0.1037689,Other,Haz,75000,0,1594.38,1594.38,80350,Tradebe Healthcare National Limited,Multiple waste types managed
"Guy Lodge Farm, London",51.6818193,-0.0767655,Other,Inert,99999,0,9480,9480,104320,The London Composting Company Ltd,Multiple waste types managed
"Yard 10 - 12 Hastingwood Trading Est, London",51.7497786,0.1554757,"Transfer and treatment (construction, demolition and excavation)",Inert,25000,10695.52,11247.98,552.46,100468,A & A Skip Hire Limited,Only one waste type managed (90%)
