location,lat,lon,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
"St Albans Farm Recycling Facility ( Ron Smith), London",51.460257,-0.396945,"Transfer and treatment (construction, demolition and excavation)",Inert,221416,71202.37,92918.25,21715.88,80063,Ron Smith ( Recycling ) Ltd,Multiple waste types managed
"Mogden Sewage Treatment Works, London",51.4613118,-0.3414585,Other,HIC,250000,99979.33,48691.82,-51287.51,100679,Thames Water Utilities Ltd,Only one waste type managed (90%)
"Wandsworth Transfer Station, London",51.4625548,-0.191276,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,20731.3,20716.18,-15.12,83393,Shukco 347 Ltd,Only one waste type managed (90%)
"W Riverside S W T S , Smugglers Way, Sw18, London",51.4628999,-0.1895057,Waste transfer (household and commercial),HIC,893637,219846.42,219853.66,7.24,83283,Cory Environmental Ltd,Only one waste type managed (90%)
"Space Waye Civic Amenity Site, London",51.4634037,-0.4099045,Household Reuse and Recycling Centres,HIC,82000,16179.58,16128.71,-50.87,80527,Hounslow London Borough Council,Only one waste type managed (90%)
"Belinda Road ( Brixton) Waste Transfer Facility, London",51.464887,-0.10412,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,35838,35998.79,160.79,83255,Powerday Plc,Only one waste type managed (90%)
"Veolia Inert Soils Coldharbour Lane, London",51.4656441,-0.1029496,"Transfer and treatment (construction, demolition and excavation)",Inert,400000,112673.31,113168.32,495.01,80768,Veolia E S Landfill Ltd,Only one waste type managed (90%)
"Metropolitan Waste Management Ltd, London",51.4702998,-0.155939,Waste transfer (household and commercial),HIC,262600,0,47825.18,47825.18,83228,Metropolitan Waste Management Ltd,Multiple waste types managed
"European Metal Recycling, London",51.4719557,-0.1387635,Metals and vehicle recycling,HIC,276960,110988.38,108469.1,-2519.28,83229,European Metal Recycling Ltd,Only one waste type managed (90%)
"Day Aggregates Stewarts Lane Depot, London",51.47381,-0.144061,"Transfer and treatment (construction, demolition and excavation)",Inert,35000,0,5923.1,5923.1,103456,Day Group Ltd,Multiple waste types managed
"Townmead Civic Amenity Site, London",51.4752831,-0.274626,Household Reuse and Recycling Centres,HIC,75000,17776.19,19371.66,1595.47,83209,Richmond Upon Thames London Borough Council,Only one waste type managed (90%)
"Anchor Bay Wharf, London",51.4779448,0.1908761,Other,Inert,74999,0,723,723,103948,Erith Remediation Technologies Limited,Multiple waste types managed
"M & R Building & Landscaping Ltd, London",51.4779536,0.21405,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,5850.27,1537.42,-4312.85,402861,M & R Building & Landscaping Ltd,Multiple waste types managed
"Toulouse Plant Hire Ltd, London",51.4783857,-0.0173921,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,75445.66,72303.39,-3142.27,83248,Toulouse Plant Hire Ltd,Only one waste type managed (90%)
"Northern Line Extension Project, London",51.4799435,-0.1414236,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,67343,16835.75,-50507.25,403036,Laing O Rourke Infrastructure Limited,Only one waste type managed (90%)
"Scrapco Metal Recycling Ltd, London",51.480778,0.212142,Metals and vehicle recycling,Inert,74999,26845.9,30668.2,3822.3,101450,Scrapco Metal Recycling Ltd,Multiple waste types managed
"Bulk Waste Recycling Facility, London",51.4819672,-0.0580691,Waste transfer (household and commercial),HIC,730000,198389.04,178517.68,-19871.36,80689,Londonenergy Ltd,Only one waste type managed (90%)
"Greenwich Intergrated Waste Management Facility, London",51.4820124,-0.0576302,Waste transfer (household and commercial),HIC,411000,44183.91,56429.37,12245.46,83498,Veolia E S Cleanaway ( U K ) Ltd,Only one waste type managed (90%)
"C & G Demolition & Site Clearance Ltd, Mercury Way, Se14, London",51.4823172,-0.0461109,"Transfer and treatment (construction, demolition and excavation)",Inert,42900,31735.54,27963.3,-3772.24,83257,C & G Demolition & Site Clearance Ltd,Only one waste type managed (90%)
"Waste Transfer Station, London",51.4824067,-0.1411696,"Transfer and treatment (construction, demolition and excavation)",Inert,100000,67135.27,69012,1876.73,80036,Space Rubbish Limited,Only one waste type managed (90%)
"Economic Skips Ltd, Mercury Way, Se14, London",51.4824667,-0.0463684,"Transfer and treatment (construction, demolition and excavation)",Inert,135460,44319.62,39969.52,-4350.1,83258,Economic Skips Ltd,Only one waste type managed (90%)
"Thames Wharf, London",51.4828849,-0.2233039,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,68256,82501.5,14245.5,100813,Keltbray Environmental Ltd,Only one waste type managed (90%)
"Cranford Lane T S, Heathrow, London",51.484399,-0.3935787,Waste transfer (household and commercial),HIC,74999,469.2,1036.54,567.34,80042,Heathrow Airport Ltd,Only one waste type managed (90%)
"Unit 1, Stockholm Road, London",51.4850139,-0.0508448,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,49122.03,52327.34,3205.31,104283,R T S Waste Management Limited,Only one waste type managed (90%)
"Ilderton Waste, London",51.4851485,-0.0536855,"Transfer and treatment (construction, demolition and excavation)",Inert,49000,17907,11065.21,-6841.79,83475,Ilderton Waste,Only one waste type managed (90%)
"Lewisham Recycling & Waste Reception Centre, Landmann Way, London",51.485202,-0.045808,Household Reuse and Recycling Centres,HIC,24999,5787.87,5421.13,-366.74,83355,London Borough of Lewisham,Only one waste type managed (90%)
"SELCHP Energy Recovery Facility , London",51.485399,-0.046045,Thermal treatment,HIC,488000,444391.78,444453.34,61.56,NP3738SY,South East London Combined Heat and Power Limited,Only one waste type managed (90%)
"Mayer Parry, Brentford, London",51.486073,-0.3101169,Metals and vehicle recycling,HIC,74999,67094.69,57493.58,-9601.11,80370,Mayer Parry Recycling Ltd,Only one waste type managed (90%)
"Brentford Service Centre, London",51.4869409,-0.3237026,Waste transfer (household and commercial),HIC,25000,2887.79,2317.36,-570.43,100044,Rentokil Initial U K Limited,Multiple waste types managed
"Sipson North East Inert Landfill, London",51.48952,-0.458351,Disposal (inert),Inert,1869000,343785,269657.25,-74127.75,80594,Henry Streeter ( Sand & Ballast ) Ltd,Only one waste type managed (90%)
"Transport Avenue Transfer Station, London",51.489794,-0.3234824,Waste transfer (household and commercial),HIC,270000,246784.51,202873.93,-43910.58,80077,Suez Recycling And Recovery U K Ltd,Only one waste type managed (90%)
"Brentford Aggregate Materials Recycling Facility, London",51.489794,-0.323482,"Transfer and treatment (construction, demolition and excavation)",Inert,600000,0,222697.74,222697.74,103193,Day Group Limited,Multiple waste types managed
